# VNS - input1.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
6,306,0.000000,310.300000,16.311455
7,306,0.013072,310.300000,16.311455
8,306,0.009804,310.300000,16.311455
9,306,0.019608,310.300000,16.311455
10,306,0.009804,310.300000,16.311455

# VNS - input15.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,344,0.000000,347.400000,16.057720
2,344,0.011628,347.400000,16.057720
3,344,0.008721,347.400000,16.057720
4,344,0.011628,347.400000,16.057720
5,344,0.020349,347.400000,16.057720
6,344,0.014535,347.400000,16.057720
7,344,0.008721,347.400000,16.057720
8,344,0.002907,347.400000,16.057720
9,344,0.014535,347.400000,16.057720
10,344,0.005814,347.400000,16.057720

# VNS - input16.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,376,0.000000,383.100000,20.534119
2,376,0.015957,383.100000,20.534119
3,376,0.021277,383.100000,20.534119
4,376,0.031915,383.100000,20.534119
5,376,0.013298,383.100000,20.534119
6,376,0.018617,383.100000,20.534119
7,376,0.007979,383.100000,20.534119
8,376,0.026596,383.100000,20.534119
9,376,0.021277,383.100000,20.534119
10,376,0.031915,383.100000,20.534119

# VNS - input17.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,422,0.000000,426.800000,18.828811
2,422,0.014218,426.800000,18.828811
3,422,0.023697,426.800000,18.828811
4,422,0.002370,426.800000,18.828811
5,422,0.004739,426.800000,18.828811
6,422,0.026066,426.800000,18.828811
7,422,0.007109,426.800000,18.828811
8,422,0.004739,426.800000,18.828811
9,422,0.016588,426.800000,18.828811
10,422,0.014218,426.800000,18.828811

# VNS - input18.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,467,0.008565,471.400000,20.647373
2,467,0.006424,471.400000,20.647373
3,467,0.010707,471.400000,20.647373
4,467,0.000000,471.400000,20.647373
5,467,0.002141,471.400000,20.647373
6,467,0.008565,471.400000,20.647373
7,467,0.000000,471.400000,20.647373
8,467,0.019272,471.400000,20.647373
9,467,0.014989,471.400000,20.647373
10,467,0.023555,471.400000,20.647373

# VNS - input19.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,507,0.017751,512.800000,21.554580
2,507,0.013807,512.800000,21.554580
3,507,0.029586,512.800000,21.554580
4,507,0.009862,512.800000,21.554580
5,507,0.005917,512.800000,21.554580
6,507,0.007890,512.800000,21.554580
7,507,0.000000,512.800000,21.554580
8,507,0.015779,512.800000,21.554580
9,507,0.007890,512.800000,21.554580
10,507,0.005917,512.800000,21.554580

# VNS - input20.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,553,0.018083,559.900000,22.014206
2,553,0.014467,559.900000,22.014206
3,553,0.028933,559.900000,22.014206
4,553,0.010850,559.900000,22.014206
5,553,0.016275,559.900000,22.014206
6,553,0.009042,559.900000,22.014206
7,553,0.010850,559.900000,22.014206
8,553,0.012658,559.900000,22.014206
9,553,0.000000,559.900000,22.014206
10,553,0.003617,559.900000,22.014206
