# ILS - input1.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
6,301,0.033223,311.300000,15.510591
7,301,0.029900,311.300000,15.510591
8,301,0.039867,311.300000,15.510591
9,301,0.029900,311.300000,15.510591
10,301,0.036545,311.300000,15.510591

# ILS - input15.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,345,0.023188,349.000000,15.720829
2,345,0.000000,349.000000,15.720829
3,345,0.028986,349.000000,15.720829
4,345,0.017391,349.000000,15.720829
5,345,0.011594,349.000000,15.720829
6,345,0.000000,349.000000,15.720829
7,345,0.008696,349.000000,15.720829
8,345,0.002899,349.000000,15.720829
9,345,0.005797,349.000000,15.720829
10,345,0.017391,349.000000,15.720829

# ILS - input16.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,383,0.000000,387.300000,16.988316
2,383,0.013055,387.300000,16.988316
3,383,0.028721,387.300000,16.988316
4,383,0.018277,387.300000,16.988316
5,383,0.013055,387.300000,16.988316
6,383,0.010444,387.300000,16.988316
7,383,0.005222,387.300000,16.988316
8,383,0.013055,387.300000,16.988316
9,383,0.002611,387.300000,16.988316
10,383,0.007833,387.300000,16.988316

# ILS - input17.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,420,0.014286,427.000000,18.322637
2,420,0.011905,427.000000,18.322637
3,420,0.033333,427.000000,18.322637
4,420,0.026190,427.000000,18.322637
5,420,0.000000,427.000000,18.322637
6,420,0.026190,427.000000,18.322637
7,420,0.019048,427.000000,18.322637
8,420,0.011905,427.000000,18.322637
9,420,0.016667,427.000000,18.322637
10,420,0.007143,427.000000,18.322637

# ILS - input18.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,467,0.012848,472.200000,19.608140
2,467,0.012848,472.200000,19.608140
3,467,0.002141,472.200000,19.608140
4,467,0.017131,472.200000,19.608140
5,467,0.008565,472.200000,19.608140
6,467,0.012848,472.200000,19.608140
7,467,0.000000,472.200000,19.608140
8,467,0.017131,472.200000,19.608140
9,467,0.017131,472.200000,19.608140
10,467,0.010707,472.200000,19.608140

# ILS - input19.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,511,0.007828,515.700000,22.129465
2,511,0.005871,515.700000,22.129465
3,511,0.019569,515.700000,22.129465
4,511,0.001957,515.700000,22.129465
5,511,0.000000,515.700000,22.129465
6,511,0.009785,515.700000,22.129465
7,511,0.009785,515.700000,22.129465
8,511,0.007828,515.700000,22.129465
9,511,0.011742,515.700000,22.129465
10,511,0.017613,515.700000,22.129465

# ILS - input20.dat
